user_id,cluster,segment
100000,2,Moderate Engagement
100001,1,Low Engagement / At-Risk
100002,1,Low Engagement / At-Risk
100003,2,Moderate Engagement
100004,0,High Engagement
100005,0,High Engagement
100006,3,Occasional / Content-Light
100007,2,Moderate Engagement
100008,0,High Engagement
100009,0,High Engagement
100010,1,Low Engagement / At-Risk
100011,1,Low Engagement / At-Risk
100012,3,Occasional / Content-Light
100013,1,Low Engagement / At-Risk
100014,0,High Engagement
100015,0,High Engagement
100016,0,High Engagement
100017,3,Occasional / Content-Light
100018,1,Low Engagement / At-Risk
100019,3,Occasional / Content-Light
100020,3,Occasional / Content-Light
100021,0,High Engagement
100022,1,Low Engagement / At-Risk
100023,0,High Engagement
100024,0,High Engagement
100025,0,High Engagement
100026,0,High Engagement
100027,2,Moderate Engagement
100028,0,High Engagement
100029,0,High Engagement
100030,1,Low Engagement / At-Risk
100031,0,High Engagement
100032,0,High Engagement
100033,0,High Engagement
100034,0,High Engagement
100035,2,Moderate Engagement
100036,0,High Engagement
100037,3,Occasional / Content-Light
100038,2,Moderate Engagement
100039,3,Occasional / Content-Light
100040,0,High Engagement
100041,0,High Engagement
100042,1,Low Engagement / At-Risk
100043,0,High Engagement
100044,1,Low Engagement / At-Risk
100045,0,High Engagement
100046,1,Low Engagement / At-Risk
100047,0,High Engagement
100048,3,Occasional / Content-Light
100049,3,Occasional / Content-Light
100050,0,High Engagement
100051,3,Occasional / Content-Light
100052,0,High Engagement
100053,0,High Engagement
100054,0,High Engagement
100055,3,Occasional / Content-Light
100056,0,High Engagement
100057,3,Occasional / Content-Light
100058,3,Occasional / Content-Light
100059,0,High Engagement
100060,1,Low Engagement / At-Risk
100061,2,Moderate Engagement
100062,0,High Engagement
100063,3,Occasional / Content-Light
100064,0,High Engagement
100065,0,High Engagement
100066,0,High Engagement
100067,2,Moderate Engagement
100068,0,High Engagement
100069,0,High Engagement
100070,1,Low Engagement / At-Risk
100071,2,Moderate Engagement
100072,1,Low Engagement / At-Risk
100073,0,High Engagement
100074,3,Occasional / Content-Light
100075,1,Low Engagement / At-Risk
100076,0,High Engagement
100077,0,High Engagement
100078,2,Moderate Engagement
100079,1,Low Engagement / At-Risk
100080,0,High Engagement
100081,3,Occasional / Content-Light
100082,1,Low Engagement / At-Risk
100083,2,Moderate Engagement
100084,0,High Engagement
100085,3,Occasional / Content-Light
100086,1,Low Engagement / At-Risk
100087,0,High Engagement
100088,3,Occasional / Content-Light
100089,0,High Engagement
100090,3,Occasional / Content-Light
100091,3,Occasional / Content-Light
100092,0,High Engagement
100093,0,High Engagement
100094,2,Moderate Engagement
100095,3,Occasional / Content-Light
100096,2,Moderate Engagement
100097,0,High Engagement
100098,1,Low Engagement / At-Risk
100099,1,Low Engagement / At-Risk
100100,0,High Engagement
100101,0,High Engagement
100102,2,Moderate Engagement
100103,1,Low Engagement / At-Risk
100104,2,Moderate Engagement
100105,2,Moderate Engagement
100106,0,High Engagement
100107,0,High Engagement
100108,0,High Engagement
100109,0,High Engagement
100110,0,High Engagement
100111,0,High Engagement
100112,3,Occasional / Content-Light
100113,1,Low Engagement / At-Risk
100114,1,Low Engagement / At-Risk
100115,0,High Engagement
100116,3,Occasional / Content-Light
100117,2,Moderate Engagement
100118,0,High Engagement
100119,0,High Engagement
100120,3,Occasional / Content-Light
100121,2,Moderate Engagement
100122,0,High Engagement
100123,0,High Engagement
100124,1,Low Engagement / At-Risk
100125,1,Low Engagement / At-Risk
100126,1,Low Engagement / At-Risk
100127,3,Occasional / Content-Light
100128,1,Low Engagement / At-Risk
100129,0,High Engagement
100130,0,High Engagement
100131,0,High Engagement
100132,0,High Engagement
100133,0,High Engagement
100134,2,Moderate Engagement
100135,1,Low Engagement / At-Risk
100136,2,Moderate Engagement
100137,0,High Engagement
100138,2,Moderate Engagement
100139,3,Occasional / Content-Light
100140,2,Moderate Engagement
100141,2,Moderate Engagement
100142,3,Occasional / Content-Light
100143,2,Moderate Engagement
100144,0,High Engagement
100145,3,Occasional / Content-Light
100146,3,Occasional / Content-Light
100147,0,High Engagement
100148,0,High Engagement
100149,3,Occasional / Content-Light
100150,1,Low Engagement / At-Risk
100151,1,Low Engagement / At-Risk
100152,1,Low Engagement / At-Risk
100153,2,Moderate Engagement
100154,2,Moderate Engagement
100155,0,High Engagement
100156,0,High Engagement
100157,2,Moderate Engagement
100158,0,High Engagement
100159,3,Occasional / Content-Light
100160,0,High Engagement
100161,3,Occasional / Content-Light
100162,3,Occasional / Content-Light
100163,0,High Engagement
100164,2,Moderate Engagement
100165,2,Moderate Engagement
100166,1,Low Engagement / At-Risk
100167,1,Low Engagement / At-Risk
100168,0,High Engagement
100169,2,Moderate Engagement
100170,1,Low Engagement / At-Risk
100171,1,Low Engagement / At-Risk
100172,2,Moderate Engagement
100173,3,Occasional / Content-Light
100174,1,Low Engagement / At-Risk
100175,0,High Engagement
100176,2,Moderate Engagement
100177,1,Low Engagement / At-Risk
100178,0,High Engagement
100179,2,Moderate Engagement
100180,3,Occasional / Content-Light
100181,2,Moderate Engagement
100182,0,High Engagement
100183,3,Occasional / Content-Light
100184,0,High Engagement
100185,2,Moderate Engagement
100186,1,Low Engagement / At-Risk
100187,0,High Engagement
100188,1,Low Engagement / At-Risk
100189,2,Moderate Engagement
100190,2,Moderate Engagement
100191,2,Moderate Engagement
100192,0,High Engagement
100193,0,High Engagement
100194,0,High Engagement
100195,3,Occasional / Content-Light
100196,0,High Engagement
100197,1,Low Engagement / At-Risk
100198,0,High Engagement
100199,0,High Engagement
100200,1,Low Engagement / At-Risk
100201,1,Low Engagement / At-Risk
100202,3,Occasional / Content-Light
100203,0,High Engagement
100204,3,Occasional / Content-Light
100205,0,High Engagement
100206,3,Occasional / Content-Light
100207,1,Low Engagement / At-Risk
100208,1,Low Engagement / At-Risk
100209,1,Low Engagement / At-Risk
100210,3,Occasional / Content-Light
100211,0,High Engagement
100212,0,High Engagement
100213,2,Moderate Engagement
100214,1,Low Engagement / At-Risk
100215,0,High Engagement
100216,3,Occasional / Content-Light
100217,0,High Engagement
100218,1,Low Engagement / At-Risk
100219,3,Occasional / Content-Light
100220,2,Moderate Engagement
100221,2,Moderate Engagement
100222,2,Moderate Engagement
100223,1,Low Engagement / At-Risk
100224,2,Moderate Engagement
100225,0,High Engagement
100226,0,High Engagement
100227,0,High Engagement
100228,0,High Engagement
100229,0,High Engagement
100230,3,Occasional / Content-Light
100231,2,Moderate Engagement
100232,3,Occasional / Content-Light
100233,1,Low Engagement / At-Risk
100234,3,Occasional / Content-Light
100235,0,High Engagement
100236,0,High Engagement
100237,2,Moderate Engagement
100238,0,High Engagement
100239,2,Moderate Engagement
100240,2,Moderate Engagement
100241,2,Moderate Engagement
100242,0,High Engagement
100243,2,Moderate Engagement
100244,3,Occasional / Content-Light
100245,2,Moderate Engagement
100246,1,Low Engagement / At-Risk
100247,3,Occasional / Content-Light
100248,0,High Engagement
100249,1,Low Engagement / At-Risk
100250,0,High Engagement
100251,2,Moderate Engagement
100252,1,Low Engagement / At-Risk
100253,1,Low Engagement / At-Risk
100254,1,Low Engagement / At-Risk
100255,1,Low Engagement / At-Risk
100256,0,High Engagement
100257,3,Occasional / Content-Light
100258,0,High Engagement
100259,2,Moderate Engagement
100260,0,High Engagement
100261,0,High Engagement
100262,0,High Engagement
